연도,평균기온,평균최고기온,최고기온_월,최고기온_값
2000,21.619999999999997,26.9,7,30.3
2001,22.1,27.6,8,30.4
2002,21.06,26.139999999999997,7,28.5
2003,20.919999999999998,25.72,8,27.8
2004,21.84,26.939999999999998,8,29.7
2005,22.0,27.139999999999997,8,29.4
2006,21.360000000000003,26.5,8,31.5
2007,21.9,26.68,8,30.2
2008,21.82,27.080000000000002,7,30.3
2009,21.66,26.96,8,28.9
2010,22.5,27.6,8,30.9
2011,21.9,26.72,8,29.0
2012,22.259999999999998,27.32,8,30.5
2013,22.8,27.939999999999998,8,32.0
2014,21.76,27.0,7,29.6
2015,21.86,27.339999999999996,8,30.1
2016,22.74,27.96,8,31.9
2017,22.36,27.82,7,30.4
2018,22.740000000000002,27.939999999999998,8,32.1
2019,22.36,27.619999999999997,8,30.8
2020,21.86,26.54,8,30.5
2021,22.080000000000002,26.939999999999998,7,30.8
2022,22.52,27.5,7,30.3
2023,22.94,27.74,8,30.9
2024,23.839999999999996,28.98,8,33.0
